participantId,format,valid_strict,valid_loose
5f7f239e9b204e05b6c36538,json5,False,False
678faf5b31008609fd85b185,json5,True,True
65e85a421f2dee53c62fbf45,json5,False,False
666b0b42bb6fa2822fa27a32,json5,False,False
674f479b2a4ef75e4551f258,json5,False,False
60ec51c51a3158a50ded8a3e,json5,True,True
6647e8618c77f7b938865d25,json5,True,True
5ea90bb434d5e337e98c7edd,json5,False,False
65f4ab7884f8411c9e11a34e,json5,False,False
67a8fa10b4db1990f7372f01,json5,True,True
675330fb23080b9ae3ec8239,json5,True,True
681374d36d7bd7ccb6f914f5,json5,True,True
5755c957eb80c4000741a9ce,json5,True,True
6693d3ae2bd15cf7a058e6a7,json5,True,True
